featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
324,Single Family,4.0,0.0,Unkown,True,Commercial,Brick,Unknown,Unknown,2.0,Unknown,True,Garage,2.0,True,Forced Air,Shingle (Not Wood),9.0,1.0,True,In-Ground Vinyl Pool,Unknown
325,Single Family,3.5,4.0,Unkown,True,Central,Unknown,True,Masonry,2.0,Unknown,True,Attached,5.0,True,Central,Asphalt,10.0,0.0,Unknown,Unknown,Unknown
326,Single Family,2.0,4.0,Contemporary,True,Central,Stucco,Unknown,Unknown,1.0,Unknown,True,Garage,0.0,True,Central,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
327,Single Family,2.5,4.0,Contemporary,True,Central,Stucco,Unknown,Unknown,2.0,Slab / Mat / Raft,True,Attached,2.0,True,Forced Air,Asphalt,10.0,1.0,Unknown,Unknown,Unknown
328,Single Family,3.0,5.0,Split Level,True,Central,Frame Brick,True,Prefab,2.0,Unknown,True,Attached,0.0,True,Heat Pump,Unknown,8.0,1.0,Unknown,Unknown,Unknown
329,Single Family,2.0,3.0,Unkown,True,Commercial,Brick,Unknown,Unknown,1.0,Slab / Mat / Raft,Unknown,Unknown,0.0,True,Forced Air,Shingle,6.0,1.0,Unknown,Unknown,Unknown
330,Single Family,2.0,3.0,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,1.0,True,Central,Unknown,8.0,1.0,Unknown,Unknown,Unknown
331,Condo,1.0,0.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
332,Single Family,2.0,4.0,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,1.0,True,Floor / Wall,Unknown,8.0,1.0,Unknown,Unknown,Unknown
333,Single Family,4.5,4.0,Conventional,True,Central,Brick,True,Unknown,1.0,Masonry,Unknown,Unknown,0.0,True,Forced Air,Asphalt,7.0,1.0,Unknown,Unknown,Unknown
334,Single Family,2.0,0.0,Unkown,True,Central,Aluminum / Vinyl Siding,True,Unknown,1.0,Block,True,Attached,0.0,True,Heat Pump,Gravel,0.0,1.0,Unknown,Unknown,Unknown
335,Condo,1.0,3.0,Condo / Apartment,Unknown,Unknown,Brick,Unknown,Unknown,2.0,Unknown,True,Garage,1.0,Unknown,Unknown,Unknown,6.0,1.0,Unknown,Unknown,Average
336,Single Family,2.5,3.0,Conventional,True,Commercial,Siding,True,Gas Log,2.0,Unknown,True,Mixed,2.0,True,Forced Air,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
337,Single Family,2.5,4.0,Traditional,True,Central,Brick,True,Unknown,2.0,Slab / Mat / Raft,True,Attached,0.0,True,Central,Unknown,7.0,1.0,Unknown,Unknown,Unknown
338,Single Family,2.0,3.0,Condo / Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,1.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
339,Condo,1.0,1.0,Condo / Apartment,Unknown,Unknown,Wood,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,3.0,1.0,Unknown,Unknown,Unknown
340,Single Family,3.0,0.0,Unkown,True,Refrigeration,Wood,Unknown,Unknown,1.0,Unknown,True,Garage,2.0,True,Gravity,Other,0.0,1.0,True,Unknown,Unknown
341,Single Family,2.0,0.0,Unkown,True,Commercial,Unknown,True,Unknown,1.0,Unknown,True,Attached,0.0,True,Central,Unknown,0.0,1.0,Unknown,Unknown,Unknown
342,Single Family,1.5,2.0,Townhouse,True,Commercial,Siding,True,Unknown,2.0,Unknown,True,Garage,0.0,True,Forced Air,Built-up (Layered Asphalt),0.0,1.0,Unknown,Unknown,Unknown
343,Single Family,2.5,4.0,Unkown,Unknown,Unknown,OTHER,True,Unknown,2.0,Raised,True,Attached,2.0,True,Heat Pump,Composition Shingle,8.0,1.0,Unknown,Unknown,Unknown
344,Single Family,1.0,2.0,Ranch,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,True,Forced Hot Water,Unknown,0.0,0.0,Unknown,Unknown,Unknown
